Uuid,Privilege name,Description,_order:1000
226b62b1-deac-4e2a-8e89-4f66c9a19423,O3 Implementer Tools,Allows access to the O3 Implementer Tools features,
079c1025-6892-469d-aa4d-6ad2003f07d4,Preview Forms,Allows user to preview Form Entry pages from files. This should be restricted to trusted users only.,
f47ac43d-2328-4f0e-948d-88062e0d6345,Manage Cohort Definitions,Add/Edit/Remove Cohort Definitions,
35360a98-eebf-4cc0-812d-80b6025cfea3,Manage Order Set Attribute Types,Able to add/edit/retire order set attribute types,
e2b4b047-e595-4456-8ae1-8c16c4f23adc,Get Diagnoses Attribute Types,Able to get diagnoses attribute types,
bfc2eca6-fa0a-4700-b5ba-3bbe5a44413d,Get Order Set Attribute Types,Able to get order set attribute types,
eba24ae0-d3e3-4083-84bf-5c4d7eb97e3d,Task: dispensing.create.dispense,Allows user to Dispense Medication,
58f14517-6635-42d3-b1ca-99f464eaea2b,Task: dispensing.create.dispense.allowSubstitutions,"Allows user to modify the Quantity, Drug, Formulation and Dose Instructions when Dispensing",
cde0218e-c3e8-465a-85fd-ef478abbb696,Task: dispensing.edit.dispense,Allows user to edit an existing Medication Dispense,
d0e540c6-619b-4943-9431-fd1fbf494d74,Task: dispensing.delete.dispense,Allows user to delete an existing Medication Dispense,
3c788e2a-a1ec-442a-a1ed-f5d27d8392b5,Task: dispensing.delete.dispense.ifCreator,"Allows user to delete an existing Medication Dispense, *but only* if they created it originally",
bfd21c4f-008d-49f4-b96b-db14cb949c0f,Manage Metadata Mapping,Able to manage metadata mappings,
142ecdca-d3a8-11ed-afa1-0242ac120002,View Metadata Via Mapping,Able to view metadata via a mapping,
3f88daf3-f8c0-4be0-bd56-a58c918f02f6,Share Metadata,Allows user to export and import metadata,
4d585f07-cabf-4d1a-97a2-a2eb74e68347,Manage Address Hierarchy,Allows user to access/modify the defined address hierarchy,
d23f430d-570c-41ac-bddd-ac1057e2fd21,Manage RESTWS,Allows to configure RESTWS module,
16e12803-57bf-419a-8d17-9854db93674b,View RESTWS,Gives access to RESTWS in administration,
d2f70c2b-077a-4dae-b108-5ab78fc28ba5,Manage OWA,"Allows to configure OWA module, upload modules",
f35d498f-9bbf-40df-a2b8-bcb4cebd1ec4,Manage Identifier Sources,"Allows user add, edit, and remove identifier sources",
95f24ca5-4385-4d97-8b50-5b088370fb16,Manage Auto Generation Options,"Allows user add, edit, and remove auto-generation options",
da26202b-950d-4f97-a12d-1401827f6c60,Generate Batch of Identifiers,Allows user to generate a batch of identifiers to a file for offline use,
5d4b581a-6a5f-4cb8-b9f3-a79c66bed0d0,Upload Batch of Identifiers,Allows user to upload a batch of identifiers,
efb8d8d5-5540-4055-b065-04085cab6398,View Token Registrations,Allows to view token registrations,
c1d94406-eb53-4dfa-95c2-5b8dd8c184b3,Manage Token Registrations,Allows to create/update/delete token registrations,
34dc3c75-2e87-46ff-a328-c7861d0872f9,View Calculations,Allows to view Calculations,
505e901e-f0c8-4234-8e19-d7b9dcd933e3,Manage Reports,"Base privilege for add/edit/delete reporting definitions. This gives access to the administrative menus, but you need to grant additional privileges to manage each specific type of reporting definition",
f333b0d8-d0e2-427f-8858-f2b05866be21,Manage Report Definitions,Add/Edit/Remove Report Definitions,
b37cc8b5-06dc-4876-9f38-7fa1d270ee8c,Manage Data Set Definitions,Add/Edit/Remove Data Set Definitions,
ebd9f8fe-f3f1-4742-91ec-1c23dc2ccb82,Manage Indicator Definitions,Add/Edit/Remove Indicator Definitions,
3f3ef7d8-ac8d-4f68-ab72-ab238a879d75,Manage Dimension Definitions,Add/Edit/Remove Dimension Definitions,
5486ba0b-4d3d-46b5-ab82-a6a226feb9c4,Manage Report Designs,Add/Edit/Remove Report Designs,
6b19d4ee-f6ae-4191-a60f-a70fcef5c461,Manage Scheduled Report Tasks,Manage Task Scheduling in Reporting Module,
0a12b76e-2175-4eb7-af0b-498129ea1cac,Run Reports,Schedule the running of a report,
a98c5b27-8d44-42b6-9b84-626cbcc5a227,Manage OrderTemplates,Base privilege for add/edit/delete order templates,
2293389f-8595-491f-b842-5da867f59608,Generate Fua from Visit,Permite generar o reintentar la FUA de una visita finalizada sin otorgar administracion general de FUA.,
2258e376-e1f9-4e89-a06b-b9fb815bd470,app:home.admision,Permite acceder a las superficies administrativas de admision para buscar y registrar pacientes.,
151de993-1e40-4fdd-b5fc-22edcfc90008,app:home.citas,Permite ver el home de citas sus tableros y paneles de consulta del modulo.,
4cbcf36e-ea9b-4b55-86eb-5e5061922410,app:home.tabla.consultas.activas,Permite ver la tabla de consultas activas y sus metricas Consultas Activas y Total de Consultas Hoy en el home.,
a61a614a-bd39-4a89-85a4-e6d08b5a3cc1,app:home.colasAtencion,Permite ver el home de colas de atencion  sus tableros y paneles de consulta.,
2086cd99-6fd5-45db-a344-aa46ce89fbad,app:home.laboratorio,Permite ver el home de laboratorio sus tableros  paneles y resultados en modo lectura.,
4f99746d-0a3e-4998-883f-c67e23876823,app:home,Permite ver la opcion Inicio y el dashboard principal del home.,
5a735e00-3724-4d1f-99c8-7b6700fac0ac,app:home.citas.editar,"Permite crear, editar, reprogramar, cancelar o gestionar citas desde el modulo de citas.",
b212591d-96b5-4412-8790-b86a4c77b6b9,app:home.citas.editar.finalizarAtencion,Permite finalizar una cita o atencion desde los paneles del Inicio y el modulo operativo de citas.,
59f4f7a0-f910-4752-8ceb-daae43f25ad5,app:home.colasAtencion.editar,"Permite agregar, editar, mover, transicionar o cerrar elementos operativos de colas de atencion.",
03d6a1bf-ae86-4d5b-a851-9d6b8be30b2f,app:home.colasAtencion.limpiar,Permite finalizar en lote todas las entradas activas de una cola desde el frontend sin purgar su historia.,
48b4f12f-0e91-4e27-a41d-9836f7437b5a,app:home.laboratorio.editar,"Permite registrar, revisar, aprobar, rechazar o cargar resultados y ordenes desde el modulo de laboratorio.",
98ca70b3-2db4-43be-88a7-b896a4326d7e,app:home.emergencia,Permite ver la opcion Servicios de Emergencia y el dashboard operativo de emergencia.,
8291a525-0233-4599-9cb5-7a3852631f18,app:home.emergencia.editar,"Permite registrar atenciones, triage, movimientos y acciones operativas dentro del modulo de emergencia.",
88b67636-feb2-4741-8f50-3554c55db215,app:home.interconsultas,Permite ver la opcion Interconsultas y la bandeja operativa del modulo.,
8af74d2a-be86-455f-a9e2-5aff1b8aefe0,app:home.interconsultas.editar,"Permite recibir, tomar, rechazar, responder o gestionar interconsultas desde el home operativo.",
403d3b2f-c36a-4aaf-bc90-0dbf9e61a4da,app:home.libroAtenciones,Permite ver la opcion Libro de Atenciones y su dashboard de lectura.,
779f1045-f4f7-4014-adcb-aecd621e7951,app:home.libroAtenciones.editar,"Permite ejecutar acciones operativas del Libro de Atenciones, incluida la fusion de historias cuando el flujo lo expone.",
b3832732-0627-4320-acce-edda7b6ede7f,app:home.farmacia,Permite ver la opcion Farmacia y el dashboard de dispensacion en modo lectura.,
a390c154-f3b2-4708-8750-0e1988482fd1,app:home.farmacia.editar,"Permite dispensar, pausar, cerrar o modificar flujos operativos del modulo de farmacia.",
cc12fd56-b720-4272-a1b5-ebafd1b88b9b,app:home.tamizajes,Permite ver la opcion Tamizajes y su dashboard del home.,
d5c2da0f-7a9c-4ec1-865e-07bed84ab29d,app:home.tamizajes.editar,"Permite registrar o editar acciones operativas del modulo de Tamizajes cuando el frontend las exponga.",
3884c3c7-3178-4fe6-a5db-e4da4e75f047,app:home.fua,Permite ver la opcion FUA  sus paneles y consultas en modo lectura.,
b3c41566-9d97-4093-a138-ac9199c5c64e,app:home.fua.editar,"Permite registrar, actualizar, cambiar estado o gestionar FUA desde las superficies del frontend.",
b7734c10-5bf4-47b2-9c76-9d8790ae7c41,app:home.hospitalizacion,Permite ver la opcion Hospitalizacion y su dashboard principal.,
4a8faf1f-3702-41b2-8beb-b533a3c51d82,app:home.hospitalizacion.editar,"Permite admitir, transferir, dar de alta o ejecutar acciones operativas del modulo de hospitalizacion.",
c02419ca-d987-42be-b587-a3cfdd19e25e,app:home.seguimientoCasos,Permite ver la opcion Monitoreo y seguimiento de casos y su dashboard del home.,
6346a650-5768-4727-95fb-ae0c87942c85,app:home.seguimientoCasos.editar,"Permite registrar o editar acciones operativas de monitoreo y seguimiento de casos desde el home cuando el flujo las exponga.",
2ac55638-a080-4fc0-8969-dad8663b112d,app:home.listasPacientes,Permite ver la opcion Listas de pacientes y sus listados operativos.,
e5b49e13-fcf8-4829-a850-bca8d14eb3ef,app:home.listasPacientes.editar,"Permite crear, editar o poblar listas de pacientes desde el frontend.",
bdfb5be1-43fc-402e-a2c7-f5d24e6f8e41,app:home.facturacion,Permite ver la opcion Facturacion y su dashboard operativo en modo lectura.,
c0ee7e5d-2020-46da-8d5e-f03800b2b9b7,app:home.facturacion.editar,"Permite registrar o editar acciones operativas de facturacion cuando el modulo las exponga.",
8bb6ae04-2a58-4415-8e31-a9920c2595bd,app:referencias,Permite ver la opcion Referencias y acceder al modulo de referencias.,
49ba2a93-520a-4eed-8b64-e28111ebfb11,app:programacionTurnosRecursos,Permite ver la opcion Programacion de turnos y recursos y acceder a su modulo.,
39837678-1085-4968-86b6-69ad56163183,app:gestionInventario,Permite ver la opcion Gestion de inventario y acceder al modulo de stock.,
a64b4a19-dbfd-4c40-969b-e931b4056f2b,app:constructorCohortes,Permite ver la opcion Constructor de cohortes y acceder a su modulo.,
f1f5fe31-d4bf-4cd0-aa80-397d16f839a5,app:gestorCalendarioVacunacion,Permite ver la opcion Gestor del calendario de vacunacion y acceder a su modulo.,
63ef5109-602c-4350-9bc7-0ede91d93c76,app:reportes,Permite ver la opcion Informes y Estadisticas y acceder al modulo de reportes.,
5ee4d1b3-c2cc-4e13-827e-33ebc5c723d0,app:indicadores,Permite ver la opcion Indicadores y acceder a su modulo.,
83411e0d-3b88-4176-bba8-f1207b82ad17,app:entradaRapidaDatos,Permite ver la opcion Entrada Rapida de Datos y acceder al modulo de formularios.,
dd083979-007f-4da2-9aae-07d7f15ff1b7,app:herramientasSinInternet,Permite ver la opcion Herramientas sin internet y acceder al modulo offline.,
fd16e459-915d-464f-852c-81b0237d5627,app:administracionCamas,Permite ver la opcion Administracion de camas y acceder a su modulo.,
0c5b18d6-0585-41c2-ac7e-cae1fd590345,app:serviciosFacturables,Permite ver la opcion Servicios facturables y acceder a su modulo.,
184cc99e-a25f-4d2f-8b0b-9b879811279a,app:administracionSistema,Permite ver la opcion Administracion del Sistema y acceder a su modulo.,
